,forecast,lower_ci,upper_ci
2025-06-13 00:00:00+07:00,7877.08048071585,7780.168952158921,7973.99200927278
2025-06-14 00:00:00+07:00,7878.814254147321,7748.721821564726,8008.906686729915
2025-06-15 00:00:00+07:00,7880.548027578791,7724.163125291923,8036.932929865659
2025-06-16 00:00:00+07:00,7882.281801010262,7703.4286928144875,8061.134909206036
2025-06-17 00:00:00+07:00,7884.0155744417325,7685.217609262745,8082.81353962072
2025-06-18 00:00:00+07:00,7885.749347873203,7668.832710412353,8102.665985334053
2025-06-19 00:00:00+07:00,7887.483121304674,7653.848739726665,8121.117502882682
2025-06-20 00:00:00+07:00,7889.216894736144,7639.983628691351,8138.450160780937
2025-06-21 00:00:00+07:00,7890.950668167615,7627.038907248609,8154.862429086621
2025-06-22 00:00:00+07:00,7892.684441599085,7614.868649752425,8170.500233445746
2025-06-23 00:00:00+07:00,7894.418215030556,7603.361844463953,8185.474585597159
2025-06-24 00:00:00+07:00,7896.151988462027,7592.431710088291,8199.872266835762
2025-06-25 00:00:00+07:00,7897.885761893497,7582.008880587764,8213.76264319923
2025-06-26 00:00:00+07:00,7899.619535324968,7572.036872793124,8227.202197856812
2025-06-27 00:00:00+07:00,7901.353308756438,7562.468966480982,8240.237651031895
2025-06-28 00:00:00+07:00,7903.087082187909,7553.2659935047295,8252.90817087109
2025-06-29 00:00:00+07:00,7904.8208556193795,7544.394731794398,8265.246979444362
2025-06-30 00:00:00+07:00,7906.55462905085,7535.826713479986,8277.282544621714
2025-07-01 00:00:00+07:00,7908.288402482321,7527.537323650581,8289.039481314061
2025-07-02 00:00:00+07:00,7910.022175913791,7519.505107554994,8300.53924427259
2025-07-03 00:00:00+07:00,7911.755949345262,7511.711230185558,8311.800668504966
2025-07-04 00:00:00+07:00,7913.489722776732,7504.139049178188,8322.840396375277
2025-07-05 00:00:00+07:00,7915.223496208203,7496.773773274134,8333.673219142273
2025-07-06 00:00:00+07:00,7916.9572696396735,7489.6021862820335,8344.312352997313
2025-07-07 00:00:00+07:00,7918.691043071144,7482.612421811592,8354.769664330695
2025-07-08 00:00:00+07:00,7920.424816502615,7475.793777811378,8365.055855193852
2025-07-09 00:00:00+07:00,7922.158589934085,7469.136562637769,8375.180617230402
2025-07-10 00:00:00+07:00,7923.892363365556,7462.631966340535,8385.152760390578
2025-07-11 00:00:00+07:00,7925.626136797026,7456.271952292726,8394.980321301327
2025-07-12 00:00:00+07:00,7927.359910228497,7450.049165367549,8404.670655089445
