,Open,High,Low,Close,Volume,Return
count,4965.0,4965.0,4965.0,4965.0,4965.0,4965.0
mean,3208.8315579504865,3238.6930387146353,3178.1709238847043,3208.6224573694326,98298575.73615307,0.0009032826519251264
std,2878.011303741167,2901.7375673136994,2854.728221134343,2877.6539025084544,106910073.82630576,0.018569804943654337
min,201.5935146484375,201.5935738416222,193.4648007028472,199.9678192138672,0.0,-0.1007749831049721
1%,219.47692237931614,222.70606994628903,216.225343492296,220.4890948486328,0.0,-0.05009025847842485
5%,256.78681185704585,258.47402945908925,251.387924194336,255.09968872070314,23208000.0,-0.02758382725190426
10%,359.5875549316406,363.0786962416565,356.09637184513423,359.5875549316406,32463600.0,-0.0194177781229087
25%,795.5637817382812,810.8632202148438,780.2644782433143,795.5637817382812,48984000.0,-0.0078127660656864
50%,2161.69580078125,2179.418694249173,2149.2478881835937,2164.92724609375,71671800.0,0.0
75%,5290.828671684296,5368.8896278782895,5247.461126538046,5301.96044921875,110071000.0,0.0094337926892971
90%,8170.865657585809,8240.543655750364,8100.377248942609,8167.122851562503,176463880.00000006,0.021576962402167808
95%,8952.708867117144,9049.328320312501,8881.078617125986,8975.0,257236000.00000015,0.03055588750683861
99%,9967.079995293674,10039.480175544792,9894.679605582523,9967.080078125,542535759.9999958,0.053397221495194894
max,10522.147295533645,10570.4140625,10401.48046875,10570.4140625,1949960000.0,0.1733334613660537
skew,0.8577455075674348,0.8568500253689,0.8595484975494744,0.8581540104263122,5.928769631507306,0.2729200588180225
kurtosis,-0.5088216840580695,-0.5115841177407892,-0.5039967947713495,-0.5078532245937013,60.46092826535489,5.535826968013486
ann_return,0.22762722828513188,0.22762722828513188,0.22762722828513188,0.22762722828513188,0.22762722828513188,0.22762722828513188
ann_volatility,0.2947865146553231,0.2947865146553231,0.2947865146553231,0.2947865146553231,0.2947865146553231,0.2947865146553231
sharpe_ratio,0.7721765310441128,0.7721765310441128,0.7721765310441128,0.7721765310441128,0.7721765310441128,0.7721765310441128
