,Open,High,Low,Close,Volume,Return
count,5345.0,5345.0,5345.0,5345.0,5345.0,5345.0
mean,982.30887464903,996.4356821183574,968.0656759048042,981.3456046858271,25352843.93451824,0.001309112021182542
std,725.7117769657232,733.9268070068257,717.5976648158693,725.0571121731402,36824961.54838043,0.028890731120969872
min,23.37495422363281,23.37495422363281,22.312456304376774,23.37495422363281,0.0,-0.2763818583719157
1%,28.68744850158692,29.74994659423828,28.68744659423828,28.68744659423828,0.0,-0.07013111222673458
5%,40.3042911632641,41.455841064453125,39.5107938978407,40.304290771484375,20.0,-0.03936473740661536
10%,85.6070556640625,86.58542763329369,84.62868211052634,85.6070556640625,20.0,-0.0282393332411679
25%,455.9361712040792,468.91886981236456,443.8629455566406,453.2882690429688,6837500.0,-0.0125314647923173
50%,877.2763061523438,891.3344256478067,860.8477783203125,876.6648559570312,14737000.0,0.0
75%,1231.608642578125,1247.1930069107193,1219.408083196272,1231.0159912109375,29270100.0,0.0130719547208861
90%,2282.659078952866,2307.0075559375705,2255.724061213997,2275.8842285156256,57720160.000000045,0.033570101491405484
95%,2531.783915876778,2558.215874875374,2501.7945134323704,2529.2285644531257,87041120.00000013,0.04749196477264036
99%,2780.0,2810.0,2760.0,2780.0,194887668.00000146,0.08989139725117569
max,3150.0,3180.0,3080.0,3140.0,429205000.0,0.2121211892421317
skew,0.8687737157673711,0.8638158283929338,0.8762373442205227,0.8706070770861973,4.33579392398903,0.3154898994244959
kurtosis,0.15077270427407363,0.1435956073588609,0.15937551846434506,0.1536916847819354,28.007979404625992,7.8000185825479385
ann_return,0.32989622933800056,0.32989622933800056,0.32989622933800056,0.32989622933800056,0.32989622933800056,0.32989622933800056
ann_volatility,0.4586261384455237,0.4586261384455237,0.4586261384455237,0.4586261384455237,0.4586261384455237,0.4586261384455237
sharpe_ratio,0.7193140592818308,0.7193140592818308,0.7193140592818308,0.7193140592818308,0.7193140592818308,0.7193140592818308
