,Open,High,Low,Close,Volume,Return,OBV,RSI,MACD,ATR,%K,%D
Open,1.0,0.9997291992372689,0.9997390465205267,0.9995045413978916,-0.04224063922695794,-0.025614917568063077,0.7885794543475265,-0.02104325265872967,0.166684732034556,0.8311465078009642,-0.041451131722562866,-0.037727036284774196
High,0.9997291992372689,1.0,0.9996396892244683,0.9997665970075338,-0.03645155283764233,-0.017505301712705573,0.7898130008407366,-0.01910819721315663,0.16696348869697655,0.8344538877051444,-0.03809905080890587,-0.03681006806312782
Low,0.9997390465205267,0.9996396892244683,1.0,0.9997264812409827,-0.04543858804578485,-0.018180034032997765,0.7871500050635641,-0.018452424980227915,0.16667200776764765,0.8278698488028471,-0.03773163523268,-0.036362050689595325
Close,0.9995045413978916,0.9997665970075338,0.9997264812409827,1.0,-0.0398590651310806,-0.006512222029506783,0.7882987418429379,-0.015344159195122989,0.16803450861091007,0.8310747430270158,-0.03142771568483789,-0.034030925924383545
Volume,-0.04224063922695794,-0.03645155283764233,-0.04543858804578485,-0.0398590651310806,1.0,0.1673712512688704,-0.08310899701985669,0.17153252395058377,0.15114478368224046,0.08108722810793682,0.15086470735897584,0.1347543549281613
Return,-0.025614917568063077,-0.017505301712705573,-0.018180034032997765,-0.006512222029506783,0.1673712512688704,1.0,-0.0273754219304377,0.25734120442164615,0.050272373589623554,-0.01954781592698535,0.424406801292463,0.15593874160631122
OBV,0.7885794543475265,0.7898130008407366,0.7871500050635641,0.7882987418429379,-0.08310899701985669,-0.0273754219304377,1.0,-0.1046121140114613,0.06063846311327549,0.7460247969852399,-0.11284556795526057,-0.12127374130818831
RSI,-0.02104325265872967,-0.01910819721315663,-0.018452424980227915,-0.015344159195122989,0.17153252395058377,0.25734120442164615,-0.1046121140114613,1.0,0.6120212951927648,-0.05916942025307354,0.8016159090108786,0.8494462699451032
MACD,0.166684732034556,0.16696348869697655,0.16667200776764765,0.16803450861091007,0.15114478368224046,0.050272373589623554,0.06063846311327549,0.6120212951927648,1.0,0.1545127922735988,0.43775299332111517,0.5228089879630831
ATR,0.8311465078009642,0.8344538877051444,0.8278698488028471,0.8310747430270158,0.08108722810793682,-0.01954781592698535,0.7460247969852399,-0.05916942025307354,0.1545127922735988,1.0,-0.06586047618407131,-0.0672420127082111
%K,-0.041451131722562866,-0.03809905080890587,-0.03773163523268,-0.03142771568483789,0.15086470735897584,0.424406801292463,-0.11284556795526057,0.8016159090108786,0.43775299332111517,-0.06586047618407131,1.0,0.912784742030585
%D,-0.037727036284774196,-0.03681006806312782,-0.036362050689595325,-0.034030925924383545,0.1347543549281613,0.15593874160631122,-0.12127374130818831,0.8494462699451032,0.5228089879630831,-0.0672420127082111,0.912784742030585,1.0
